id,negeri,kawasan
153,SEL,PJ UTARA
154,SEL,SUBANG
155,KEL,RANTAU PANJANG
156,KEL,KUBANG KERIAN
157,SEL,SHAH ALAM
158,SEL,KAPAR
159,KEL,BACHOK
160,KEL,KETEREH
161,SEL,KLANG
162,SEL,KOTA RAJA
163,KEL,TANAH MERAH
164,KEL,PASIR PUTEH
165,SEL,KUALA LANGAT
166,SEL,SEPANG
167,KEL,MACHANG
168,KEL,JELI
169,KEL,KUALA KERAI
170,KEL,GUA MUSANG
171,SBH,KUDAT
172,SBH,KOTA MARUDU
173,SBH,KOTA BELUD
174,SBH,TUARAN
175,SBH,SEPANGGAR
176,SBH,KOTA KINABALU
177,SBH,PUTATAN
178,SBH,PENAMPANG
179,SBH,PAPAR
180,SBH,KIMANIS
181,WKL,KEPONG 
182,WKL,BATU
183,NS,JELEBU
184,NS,JEMPOL
185,WKL,WANGSA MAJU
186,WKL,SEGAMBUT
187,NS,SEREMBAN
188,NS,KUALA PILAH
189,TRG,KUALA NERUS
190,TRG,KUALA TERENGGANU
191,WKL,SETIAWANGSA
192,WKL,TITIWANGSA
193,NS,RASAH
194,NS,REMBAU
195,TRG,MARANG
196,TRG,HULU TERENGGANU
197,NS,TELOK KEMANG
198,NS,TAMPIN
199,WKL,BUKIT BINTANG
200,WKL,LEMBAH PANTAI
201,TRG,DUNGUN
202,TRG,KEMAMAN
203,WKL,SEPUTEH
204,WKL,CHERAS
205,WKL,BANDAR TUN RAZAK
206,SBH,BEAUFORT
207,SBH,SIPITANG
208,SBH,RANAU
209,SBH,KENINGAU 
210,SBH,TENOM
211,SBH,PENSIANGAN
212,SBH,BELURAN
213,SBH,LIBARAN
214,SBH,BATU SAPI
215,SBH,SANDAKAN
216,SBH,KINABATANGAN
217,SBH,SILAM
218,SBH,SEMPORNA
219,SBH,TAWAU
220,SBH,KALABAKAN
222,PP,TASEK GELUGOR
223,PP,BAGAN
224,PP,PERMATANG PAUH
225,PP,BUKIT MERTAJAM
226,PP,BATU KAWAN
227,PP,NIBONG TEBAL
228,PP,BUKIT BENDERA
229,PP,TANJONG
230,PP,JELUTONG
231,PP,BUKIT GELUGOR
232,PP,BAYAN BARU
233,PP,BALIK PULAU
234,WPL,LABUAN
