id,kod_negeri,kod_dun,dun_desc
178,PRK,PRK_N9,KUALA KURAU
179,PRK,PRK_N10,ALOR PONGSU
180,PRK,PRK_N11,GUNONG SEMANGGOL
181,PRK,PRK_N12,SELINSING
182,PRK,PRK_N13,KUALA SAPETANG
183,PRK,PRK_N14,CHANGKAT JERING
184,PRK,PRK_N15,TRONG
185,PRK,PRK_N16,KAMUNTING
186,PRK,PRK_N17,POKOK ASSAM
187,PRK,PRK_N18,AULONG
188,PRK,PRK_N19,CHENDEROH
189,PRK,PRK_N20,LUBOK MERBAU
190,PRK,PRK_N21,LINTANG
191,PRK,PRK_N22,JALONG
192,PRK,PRK_N23,MANJOI
193,PRK,PRK_N24,HULU KINTA
194,PRK,PRK_N25,CANNING
195,PRK,PRK_N26,TEBING TINGGI
196,PRK,PRK_N27,PASIR PINJI
197,PRK,PRK_N28,BERCHAM
198,PRK,PRK_N29,KEPAYANG
199,PRK,PRK_N30,BUNTONG
200,PRK,PRK_N31,JELAPANG
201,PRK,PRK_N32,MENGLEMBU
202,PRK,PRK_N33,TRONOH
203,PRK,PRK_N34,BUKIT CHANDAN
204,PRK,PRK_N35,MANONG
205,PRK,PRK_N36,PENGKALAN BAHARU
206,PRK,PRK_N37,PANTAI REMIS
207,PRK,PRK_N38,BELANJA
208,PRK,PRK_N39,BOTA
209,PRK,PRK_N40,MALIM NAWAR
210,PRK,PRK_N41,KERANJI
211,PRK,PRK_N42,TUALANG SEKAH
212,PRK,PRK_N43,SUNGAI RAPAT
213,PRK,PRK_N44,SIMPANG PULAI
214,PRK,PRK_N45,TEJA
215,PRK,PRK_N46,CHENDERIANG
216,PRK,PRK_N47,AYER KUNING
217,PRK,PRK_N48,SUNGAI MANIK
218,PRK,PRK_N49,KAMPONG GAJAH
219,PRK,PRK_N50,SITIAWAN
220,PRK,PRK_N51,PASIR PANJANG
221,PRK,PRK_N52,PANGKOR
222,PRK,PRK_N53,RUNGKUP
223,PRK,PRK_N54,HUTAN MELINTANG
224,PRK,PRK_N55,PASIR BEDAMAR
225,PRK,PRK_N56,CHANGKAT JONG
226,PRK,PRK_N57,SUNGKAI
227,PRK,PRK_N58,SLIM
228,PRK,PRK_N59,BEHRANG
229,PHG,PHG_N1,TANAH RATA
230,PHG,PHG_N2,JELAI
231,PHG,PHG_N3,PADANG TENGKU
232,PHG,PHG_N4,CHEKA
233,PHG,PHG_N5,BENTA
234,PHG,PHG_N6,BATU TALAM
235,PHG,PHG_N7,TRAS
236,PHG,PHG_N8,DONG
237,PHG,PHG_N9,TAHAN
238,PHG,PHG_N10,DAMAK
239,PHG,PHG_N11,PULAU TAWAR
240,PHG,PHG_N12,BESERAH
241,PHG,PHG_N13,SEMAMBU
242,PHG,PHG_N14,TERUNTUM
243,PHG,PHG_N15,TANJUNG LUMPUR
244,PHG,PHG_N16,INDERAPURA
245,PHG,PHG_N17,SUNGAI LEMBING
246,PHG,PHG_N18,LEPAR
247,PHG,PHG_N19,PANCHING
248,PHG,PHG_N20,PULAU MANIS
249,PHG,PHG_N21,PERAMU JAYA
250,PHG,PHG_N22,BEBAR
251,PHG,PHG_N23,CHIN
252,PHG,PHG_N24,LUIT
253,PHG,PHG_N25,KUALA SENTUL
254,PHG,PHG_N26,CHENOR
255,PHG,PHG_N27,JENDERAK
256,PHG,PHG_N28,KERDAU
257,PHG,PHG_N29,JENGKA
258,PHG,PHG_N30,MENTAKAB
259,PHG,PHG_N31,LANCHANG
260,PHG,PHG_N32,KUALA SEMANTAN
261,PHG,PHG_N33,BILUT
262,PHG,PHG_N34,KETARI
263,PHG,PHG_N35,SABAI
264,PHG,PHG_N36,PELANGAI
265,PHG,PHG_N37,GUAI
266,PHG,PHG_N38,TRIANG
267,PHG,PHG_N39,KEMAYAN
268,PHG,PHG_N40,BUKIT IBAM
269,PHG,PHG_N41,MUADZAM SHAH
270,PHG,PHG_N42,TIOMAN
271,SEL,SEL_N1,SUNGAI AIR TAWAR
272,SEL,SEL_N2,SABAK
273,SEL,SEL_N3,SUNGAI PANJANG
274,SEL,SEL_N4,SEKINCHAN
275,SEL,SEL_N5,HULU BERNAM
276,SEL,SEL_N6,KUALA KUBU BAHARU
277,SEL,SEL_N7,BATANG KALI
278,SEL,SEL_N8,SUNGAI BURONG
279,SEL,SEL_N9,PERMATANG
280,SEL,SEL_N10,BUKIT MELAWATI
281,SEL,SEL_N11,IJOK
282,SEL,SEL_N12,JERAM
283,SEL,SEL_N13,KUANG
284,SEL,SEL_N14,RAWANG
285,SEL,SEL_N15,TAMAN TEMPLER
286,SEL,SEL_N16,BATU CAVES
287,SEL,SEL_N17,GOMBAK SETIA
288,SEL,SEL_N18,HULU KELANG
289,SEL,SEL_N19,BUKIT ANTARABANGSA
290,SEL,SEL_N20,LEMBAH JAYA
291,SEL,SEL_N21,CHEMPAKA
292,SEL,SEL_N22,TERATAI
293,SEL,SEL_N23,DUSUN TUA
294,SEL,SEL_N24,SEMENYIH
295,SEL,SEL_N25,KAJANG
296,SEL,SEL_N26,BANGI
297,SEL,SEL_N27,BALAKONG
298,SEL,SEL_N28,SERI KEMBANGAN
299,SEL,SEL_N29,SERI SERDANG
300,SEL,SEL_N30,KINRARA
301,SEL,SEL_N31,SUBANG JAYA
302,SEL,SEL_N32,SERI SETIA
303,SEL,SEL_N33,TAMAN MEDAN
304,SEL,SEL_N34,BUKIT GASING
305,SEL,SEL_N35,KAMPUNG TUNKU
306,SEL,SEL_N36,DAMANSARA UTAMA
307,SEL,SEL_N37,BUKIT LANJAN
308,SEL,SEL_N38,PAYA JARAS
309,SEL,SEL_N39,KOTA DAMANSARA
310,SEL,SEL_N40,KOTA ANGGERIK
311,SEL,SEL_N41,BATU TIGA
312,SEL,SEL_N42,MERU 
313,SEL,SEL_N43,SEMENTA
314,SEL,SEL_N44,SUNGAI PINANG
315,SEL,SEL_N45,SELAT KLANG
316,SEL,SEL_N46,PELABUHAN KLANG
317,SEL,SEL_N47,PANDARAMAN
318,SEL,SEL_N48,KOTA ALAM SHAH
319,SEL,SEL_N49,SERI ANDALAS
320,SEL,SEL_N50,SRI MUDA
321,SEL,SEL_N51,SIJANGKANG
322,SEL,SEL_N52,TELUK DATUK
323,SEL,SEL_N53,MORIB
324,SEL,SEL_N54,TANJONG SEPAT
325,SEL,SEL_N55,DENGKIL
326,SEL,SEL_N56,SUNGAI PELEK
327,,,
328,,,
329,NS,NS_N1,CHENNAH
330,NS,NS_N2,PERTANG
331,NS,NS_N3,SUNGAI LUI
332,NS,NS_N4,KLAWANG
333,NS,NS_N5,SERTING
334,NS,NS_N6,PALONG
335,NS,NS_N7,JERAM PADANG
336,NS,NS_N8,BAHAU
337,NS,NS_N9,LENGGENG
338,NS,NS_N10,NILAI
339,NS,NS_N11,LOBAK
340,NS,NS_N12,TEMIANG
341,NS,NS_N13,SIKAMAT
342,NS,NS_N14,AMPANGAN
343,NS,NS_N15,JUASSEH
344,NS,NS_N16,SERI MENANTI
345,NS,NS_N17,SENALING
346,NS,NS_N18,PILAH
347,NS,NS_N19,JOHOL
348,NS,NS_N20,LABU
349,NS,NS_N21,BUKIT KEPAYANG
350,NS,NS_N22,RAHANG
351,NS,NS_N23,MAMBAU
352,NS,NS_N24,SENAWANG
353,NS,NS_N25,PAROI
354,NS,NS_N26,CHEMBONG
355,NS,NS_N27,RANTAU
356,NS,NS_N28,KOTA
357,NS,NS_N29,CHUAH
358,NS,NS_N30,LUKUT
359,NS,NS_N31,BAGAN PINANG
360,NS,NS_N32,LINGGI
361,NS,NS_N33,PORT DICKSON
362,NS,NS_N34,GEMAS
363,NS,NS_N35,GEMENCHEH
364,NS,NS_N36,REPAH
365,MLK,MLK_N1,KUALA LINGGI
366,MLK,MLK_N2,TANJUNG BIDARA
367,MLK,MLK_N3,AYER LIMAU
368,MLK,MLK_N4,LENDU
369,MLK,MLK_N5,TABOH NANING
370,MLK,MLK_N6,REMBIA
371,MLK,MLK_N7,GADEK
372,MLK,MLK_N8,MACHAP
373,MLK,MLK_N9,DURIAN TUNGGAL
374,MLK,MLK_N10,ASAHAN
375,MLK,MLK_N11,SUNGAI UDANG
376,MLK,MLK_N12,PANTAI KUNDOR
377,MLK,MLK_N13,PAYA RUMPUT
378,MLK,MLK_N14,KELEBANG
379,MLK,MLK_N15,BACHANG
380,MLK,MLK_N16,AYER KEROH
381,MLK,MLK_N17,BUKIT BARU
382,MLK,MLK_N18,AYER MOLEK
383,MLK,MLK_N19,KESIDANG
384,MLK,MLK_N20,KOTA LAKSAMANA
385,MLK,MLK_N21,DUYONG
386,MLK,MLK_N22,BANDAR HILIR
387,MLK,MLK_N23,TELOK MAS
388,MLK,MLK_N24,BEMBAN
389,MLK,MLK_N25,RIM
390,MLK,MLK_N26,SERKAM
391,MLK,MLK_N27,MERLIMAU
392,MLK,MLK_N28,SUNGAI RAMBAI
393,JHR,JHR_N1,BULOH KASAP
394,JHR,JHR_N2,JEMENTAH
395,JHR,JHR_N3,PEMANIS
396,JHR,JHR_N4,KEMELAH
397,JHR,JHR_N5,TENANG
398,JHR,JHR_N6,BEKOK
399,JHR,JHR_N7,BUKIT SERAMPANG
400,JHR,JHR_N8,JORAK
401,JHR,JHR_N9,GAMBIR
402,JHR,JHR_N10,TANGKAK
403,JHR,JHR_N11,SEROM
404,JHR,JHR_N12,BENTAYAN
405,JHR,JHR_N13,SUNGAI ABONG
406,JHR,JHR_N14,BUKIT NANING
407,JHR,JHR_N15,MAHARANI
408,JHR,JHR_N16,SUNGAI BALANG
409,JHR,JHR_N17,SEMERAH
410,JHR,JHR_N18,SRI MEDAN
411,JHR,JHR_N19,YONG PENG
412,JHR,JHR_N20,SEMARANG
413,JHR,JHR_N21,PARIT YAANI
414,JHR,JHR_N22,PARIT RAJA
415,JHR,JHR_N23,PENGGARAM
416,JHR,JHR_N24,SENGGARANG
417,JHR,JHR_N25,RENGIT
418,JHR,JHR_N26,MACHAP
419,JHR,JHR_N27,LAYANG-LAYANG
420,JHR,JHR_N28,MENGKIBOL
421,JHR,JHR_N29,MAHKOTA
422,JHR,JHR_N30,PALOH 
423,JHR,JHR_N31,KAHANG
424,JHR,JHR_N32,ENDAU
425,JHR,JHR_N33,TENGGAROH
426,JHR,JHR_N34,PANTI
427,JHR,JHR_N35,PASIR RAJA
428,JHR,JHR_N36,SEDILI
429,JHR,JHR_N37,JOHOR LAMA
430,JHR,JHR_N38,PENAWAR
431,JHR,JHR_N39,TANJONG SURAT
432,JHR,JHR_N40,TIRAM
433,JHR,JHR_N41,PUTERI WANGSA
434,JHR,JHR_N42,JOHOR JAYA
435,JHR,JHR_N43,PERMAS
436,JHR,JHR_N44,TANJONG PUTERI
437,JHR,JHR_N45,STULANG
438,JHR,JHR_N46,PENGKALAN RINTING
439,JHR,JHR_N47,KEMPAS
440,JHR,JHR_N48,SKUDAI
441,JHR,JHR_N49,NUSA JAYA
442,JHR,JHR_N50,BUKIT PERMAI
443,JHR,JHR_N51,BUKIT BATU
444,JHR,JHR_N52,SENAI
445,JHR,JHR_N53,BENUT
446,JHR,JHR_N54,PULAI SEBATANG
447,JHR,JHR_N55,PEKAN NENAS
448,JHR,JHR_N56,KUKUP
449,,,
450,SBH,SBH_N1,BANGGI
451,SBH,SBH_N2,TANJONG KAPOR
452,SBH,SBH_N3,PITAS
453,SBH,SBH_N4,MATUNGGONG
454,SBH,SBH_N5,TANDEK
455,SBH,SBH_N6,TEMPASUK
456,SBH,SBH_N7,KADAMAIAN
457,SBH,SBH_N8,USUKAN
458,SBH,SBH_N9,TAMPARULI
459,SBH,SBH_N10,SULAMAN
460,SBH,SBH_N11,KIULU
461,SBH,SBH_N12,KARAMBUNAI
462,SBH,SBH_N13,INANAM
463,SBH,SBH_N14,LIKAS
464,SBH,SBH_N15,API-API
465,SBH,SBH_N16,LUYANG
466,SBH,SBH_N17,TANJONG ARU
467,SBH,SBH_N18,PETAGAS
468,SBH,SBH_N19,KAPAYAN
469,SBH,SBH_N20,MOYOG
470,SBH,SBH_N21,KAWANG
471,SBH,SBH_N22,PANTAI MANIS
472,SBH,SBH_N23,BONGAWAN
473,SBH,SBH_N24,MEMBAKUT
474,SBH,SBH_N25,KLIAS
475,SBH,SBH_N26,KUALA PENYU
476,SBH,SBH_N27,LUMADAN
477,SBH,SBH_N28,SINDUMIN
478,SBH,SBH_N29,KUNDASANG
479,SBH,SBH_N30,KARANAAN
480,SBH,SBH_N31,PAGINATAN
481,SBH,SBH_N32,TAMBUNAN
482,SBH,SBH_N33,BINGKOR
483,SBH,SBH_N34,LIAWAN
484,SBH,SBH_N35,MELALAP
485,SBH,SBH_N36,KEMABONG
486,SBH,SBH_N37,SOOK
487,SBH,SBH_N38,NABAWAN
488,SBH,SBH_N39,SUGUT
489,SBH,SBH_N40,LABUK
490,SBH,SBH_N41,GUM-GUM
491,SBH,SBH_N42,SUNGAI SIBUGA
492,SBH,SBH_N43,SEKONG
493,SBH,SBH_N44,KARAMUNTING
494,SBH,SBH_N45,ELOPURA
495,SBH,SBH_N46,TANJONG PAPAT
496,SBH,SBH_N47,KUAMUT
497,SBH,SBH_N48,SUKAU
498,SBH,SBH_N49,TUNGKU
499,SBH,SBH_N50,LAHAD DATU
500,SBH,SBH_N51,KUNAK
501,SBH,SBH_N52,SULABAYAN
502,SBH,SBH_N53,SENALLANG
503,SBH,SBH_N54,BUGAYA
504,SBH,SBH_N55,BALUNG
505,SBH,SBH_N56,APAS
506,SBH,SBH_N57,SRI TANJUNG
507,SBH,SBH_N58,MEROTAI
508,SBH,SBH_N59,TANJUNG BATU
509,SBH,SBH_N60,SEBATIK
510,SWK,SWK_N1,OPAR
511,SWK,SWK_N2,TASIK BARU
512,SWK,SWK_N3,TANJUNG DATU
513,SWK,SWK_N4,PANTAI DAMAI
514,SWK,SWK_N5,DEMAK LAUT
515,SWK,SWK_N6,TUPONG
516,SWK,SWK_N7,SAMARIANG
517,SWK,SWK_N8,SATOK
518,SWK,SWK_N9,PADUNGAN
519,SWK,SWK_N10,PENDING
520,SWK,SWK_N11,BATU LINTANG
521,SWK,SWK_N12,KOTA SENTOSA
522,SWK,SWK_N13,BATU KITANG
523,SWK,SWK_N14,BATU KAWAH
524,SWK,SWK_N15,ASAJAYA
525,SWK,SWK_N16,MUARA TUANG
526,SWK,SWK_N17,STAKAN
527,SWK,SWK_N18,SEREMBU
528,SWK,SWK_N19,MAMBONG
529,SWK,SWK_N20,TARAT
530,SWK,SWK_N21,TEBEDU
531,SWK,SWK_N22,KEDUP
532,SWK,SWK_N23,BUKIT SEMUJA
533,SWK,SWK_N24,SADONG JAYA
534,SWK,SWK_N25,SIMUNJAN
535,SWK,SWK_N26,GEDONG
536,SWK,SWK_N27,SEBUYAU
537,SWK,SWK_N28,LINGGA
538,SWK,SWK_N29,BETING MARO
539,SWK,SWK_N30,BALAI RINGIN
540,SWK,SWK_N31,BUKIT BEGUNAN
541,SWK,SWK_N32,SIMANGGANG
542,SWK,SWK_N33,ENGKILLI
543,SWK,SWK_N34,BATANG AI
544,SWK,SWK_N35,SARIBAS
545,SWK,SWK_N36,LAYAR
546,SWK,SWK_N37,BUKIT SABAN
547,SWK,SWK_N38,KALAKA
548,SWK,SWK_N39,KRIAN
549,SWK,SWK_N40,KABONG
550,SWK,SWK_N41,KUALA RAJANG
551,SWK,SWK_N42,SEMOP
552,SWK,SWK_N43,DARO
553,SWK,SWK_N44,JEMORENG
554,SWK,SWK_N45,REPOK
555,SWK,SWK_N46,MERADONG
556,SWK,SWK_N47,PAKAN
557,SWK,SWK_N48,MELUAN
558,SWK,SWK_N49,NGEMAH
559,SWK,SWK_N50,MACHAN
560,SWK,SWK_N51,BUKIT ASSEK
561,SWK,SWK_N52,DUDONG
562,SWK,SWK_N53,BAWANG ASSAN
563,SWK,SWK_N54,PELAWN
564,SWK,SWK_N55,NANGKA
565,SWK,SWK_N56,DALAT
566,SWK,SWK_N57,TELLIAN
567,SWK,SWK_N58,BALINGIAN
568,SWK,SWK_N59,TAMIN
569,SWK,SWK_N60,KAKUS
570,SWK,SWK_N61,PELAGUS
571,SWK,SWK_N62,KATIBAS
572,SWK,SWK_N63,BUKIT GORAM
573,SWK,SWK_N64,BALEH
574,SWK,SWK_N65,BELAGA
575,SWK,SWK_N66,MURUM
576,SWK,SWK_N67,JEPAK
577,SWK,SWK_N68,TANJONG BATU
578,SWK,SWK_N69,KEMENA
579,SWK,SWK_N70,SAMALAJU
580,SWK,SWK_N71,BEKENU
581,SWK,SWK_N72,LAMBIR
582,SWK,SWK_N73,PIASAU
583,SWK,SWK_N74,PUJUT
584,SWK,SWK_N75,SENADIN
585,SWK,SWK_N76,MARUDI
586,SWK,SWK_N77,TELANG USAN
587,SWK,SWK_N78,MULU
588,SWK,SWK_N79,BUKIT KOTA
589,SWK,SWK_N80,BATU DANAU
590,SWK,SWK_N81,BA'KELALAN
591,SWK,SWK_N82,BUKIT SARI
